timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587995804614,1318,Get Currency Rate,200,OK,Currency Converter API 1-1414,text,true,,7674,235,703,703,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,1318,0,1157
1587995805362,573,Get Currency Rate,200,OK,Currency Converter API 1-854,text,true,,7674,235,703,703,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,572,0,416
1587995805780,163,Get Historical Currency Rate,200,OK,Currency Converter API 1-1579,text,true,,7055,247,703,703,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,163,0,0
1587995805360,585,Get Currency Rate,200,OK,Currency Converter API 1-1211,text,true,,7674,235,702,702,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,585,0,416
1587995805734,212,Get Historical Currency Rate,200,OK,Currency Converter API 1-1543,text,true,,7055,247,702,702,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,212,0,0
1587995805355,592,Get Currency Rate,200,OK,Currency Converter API 1-653,text,true,,7674,235,701,701,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,592,0,422
1587995805774,175,Get Historical Currency Rate,200,OK,Currency Converter API 1-883,text,true,,7055,247,701,701,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,175,0,0
1587995805644,308,Get Historical Currency Rate,200,OK,Currency Converter API 1-1949,text,true,,7055,247,700,700,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,308,0,0
1587995770760,35193,Get Available Currencies,200,OK,Currency Converter API 1-1843,text,true,,2471,220,699,699,https://currency-converter5.p.rapidapi.com/currency/list,35193,0,34718
1587995805776,177,Get Historical Currency Rate,200,OK,Currency Converter API 1-1814,text,true,,7055,247,699,699,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,177,0,0
1587995803669,2286,Get Currency Rate,200,OK,Currency Converter API 1-1988,text,true,,7674,235,698,698,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,2286,0,2118
1587995804511,1445,Get Currency Rate,200,OK,Currency Converter API 1-1532,text,true,,7674,235,698,698,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,1445,0,495
1587995805785,171,Get Historical Currency Rate,200,OK,Currency Converter API 1-1248,text,true,,7055,247,698,698,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,171,0,0
1587995805288,677,Get Currency Rate,200,OK,Currency Converter API 1-1246,text,true,,7674,235,697,697,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,677,0,490
1587995804975,990,Get Currency Rate,200,OK,Currency Converter API 1-1822,text,true,,7674,235,697,697,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,990,0,652
